"kode_kab","kode_instansi","unit_kerja"
"1213","1203022","RS UMUM DAERAH PANYABUNGAN"
"1203","1203033","RS UMUM DAERAH TAPANULI SELATAN"
"1220","1203044","RS UMUM DAERAH GUNUNG TUA"
"1221","1203055","RS UMUM DAERAH SIBUHUAN"
"1201","1204056","RS UMUM DAERAH PANDAN"
"1202","1205013","RS UMUM DAERAH TARUTUNG"
"1217","1205024","RS UMUM DAERAH DR. HADRIANUS SINAGA"
"1216","1205035","RS UMUM DAERAH DOLOK SANGGUL"
"1212","1205046","RS UMUM DAERAH PORSEA"
"1212","1205061","RS UMUM HKBP BALIGE"
"1202","1205142","RS UMUM SINT LUCIA"
"1222","1206063","RS UMUM NURAINI"
"1210","1207015","RS UMUM DAERAH RANTAU PRAPAT"
"1222","1207052","RS UMUM SRI TORGAMBA"
"1210","1207066","RS UMUM ELPI AL AZIS"
"1210","1207067","RS UMUM KARYA BAKTI UJUNG BANDAR"
"1210","1207068","RS UMUM HARTATI MEDICAL CENTRE"
"1210","1207069","RS DOKTER TAKDIR"
"1210","1207073","RS UMUM CITRA MEDIKA"
"1209","1208016","RS UMUM DAERAH H. ABDUL MANAN SIMATUPANG"
"1209","1208020","RS UMUM IBU KARTINI"
"1209","1208053","RS UMUM SEI DADAP"
"1209","1208056","RS UMUM SETIO HUSODO"
"1209","1208057","RS UMUM WIRA HUSADA"
"1209","1208059","RS UMUM BUNDA MULIA"
"1209","1208060","RS UMUM LINA"
"1209","1208062","RS UMUM METHODIST BINTANG KASIH"
"1209","1208064","RS UMUM PERMATA HATI"
"1209","1208066","RS UMUM UTAMA"
"1209","1208068","RS SEGER WARAS"
"1208","1209010","RS UMUM BALIMBINGAN PTP 4"
"1208","1209021","RS UMUM LARAS KABUPATEN SIMALUNGUN"
"1208","1209054","RS GKPS BETHESDA SARIBU DOLOK"
"1208","1209065","RS UMUM DAERAH PARAPAT"
"1208","1209076","RS UMUM DAERAH PERDAGANGAN"
"1208","1209077","RS UMUM DAERAH TUAN RONDAHAIM PEMATANG RAYA"
"1208","1209081","RS UMUM KARYA HUSADA"
"1211","1210010","RS UMUM DAERAH SIDIKALANG"
"1206","1211011","RS UMUM DAERAH KABANJAHE"
"1206","1211033","RS UMUM LAU SIMOMO"
"1206","1211124","RS UMUM EFARINA ETAHAM"
"1206","1211126","RS UMUM AMANDA"
"1206","1211127","RS IBU DAN ANAK MINA HUSADA"
"1207","1212012","RS UMUM DAERAH DRS. H. AMRI TAMBUNAN"
"1207","1212023","RS UMUM DR. GERHARD L. TOBING"
"1207","1212045","RS UMUM SEMBIRING DELI TUA"
"1207","1212067","RS UMUM HIDAYAH"
"1207","1212093","RS UMUM SARI MUTIARA LUBUK PAKAM"
"1207","1212136","RS UMUM SINAR HUSNI"
"1207","1212171","RS UMUM RAHMAD HIDAYAH"
"1207","1212172","RS UMUM PATAR ASIH"
"1207","1212174","RS UMUM KELIAT"
"1207","1212175","RS UMUM MITRA SEHAT"
"1207","1212176","RS UMUM JOKO"
"1207","1212177","RS UMUM YOSHUA"
"1207","1212179","RS UMUM CITRA MEDIKA"
"1207","1212181","RS UMUM MITRA MEDIKA"
"1207","1212183","RS UMUM KASIH INSANI"
"1207","1212184","RS JIWA BINA KARSA TUNTUNGAN"
"1207","1212185","RS UMUM PANCUR BATU"
"1207","1212186","RS IBU DAN ANAK MAHARANI"
"1207","1212197","RS IBU DAN ANAK PRAMALIESA"
"1205","1213013","RS UMUM DAERAH TANJUNG PURA"
"1205","1213024","RS UMUM PTP II TG SELAMAT"
"1205","1213035","RS UMUM PERTAMINA PANGKALAN BRANDAN"
"1205","1213057","RS UMUM DELIA"
"1205","1213058","RS UMUM WAMPU NORITA"
"1205","1213059","RS UMUM PUTRI BIDADARI"
"1205","1213062","RS UMUM MAHKOTA BIDADARI"
"1214","1214010","RS UMUM DAERAH LUKAS HILISIMAETANO"
"1214","1214011","RS UMUM STELLA MARIS"
"1214","1214022","RS UMUM DAERAH NIAS SELATAN"
"1215","1216011","RS UMUM DAERAH SALAK"
"1218","1218013","RS UMUM TRIANDA"
"1218","1218024","RS UMUM MELATI"
"1218","1218025","RS UMUM SAWIT INDAH PERBAUNGAN"
"1218","1218026","RS UMUM PABATU"
"1218","1218029","RS UMUM MELATI DESA PON"
"1218","1218125","RS UMUM DAERAH SULTAN SULAIMAN SYARIFUL ALAMSYAH"
"1207","1218158","RS GRANDMED"
"1219","1219002","RS UMUM LASMI KARTIKA"
"1219","1219003","RS UMUM DAERAH BATU BARA"
"1219","1219004","RS UMUM INDRAPURA"
"1219","1219015","RS. SAPTA MEDIKA"
"1221","1221002","RS UMUM PERMATA MADINA SIBUHUAN"
"1222","1222002","RS UMUM DAERAH KOTA PINANG"
"1223","1223002","RS UMUM DAERAH  AEK KANOPAN"
"1223","1223005","RS TIGA BERSAUDARA"
"1223","1223006","RS UMUM FLORA"
"1223","1223007","RS UMUM DR. RANGKUTI"
"1224","1224002","RS PRATAMA KABUPATEN NIAS UTARA"
"1225","1225002","RS PRATAMA KAB. NIAS BARAT"
"1273","1271016","RS UMUM DAERAH DR. FL TOBING SIBOLGA"
"1273","1271032","RS UMUM METTA MEDIKA"
"1273","1271033","RS METTA MEDIKA II"
"1274","1272010","RS UMUM DAERAH DR. TENGKU MANSYUR"
"1274","1272033","RS UMUM HADI HUSADA"
"1272","1273011","RS UMUM DAERAH DR. DJASAMEN SARAGIH"
"1272","1273022","RS TK. IV 01.07.01"
"1272","1273033","RS UMUM HARAPAN"
"1272","1273055","RS UMUM VITA INSANI"
"1272","1273102","RS UMUM HORAS INSANI"
"1272","1273106","RS UMUM TIARA KASIH SEJATI"
"1272","1273107","RS MATA SIANTAR"
"1272","1273108","RS RASYIDA SIANTAR"
"1272","1273119","RS EFARINA ETAHAM PEMATANG SIANTAR"
"1276","1274012","RS UMUM DAERAH DR. H. KUMPULAN PANE"
"1276","1274034","RS UMUM SRI PAMELA"
"1276","1274058","RS BHAYANGKARA TK.III KOTA TEBING TINGGI"
"1276","1274061","RS UMUM NATAMA"
"1276","1274062","RS UMUM UNIVERSITAS PRIMA INDONESIA"
"1276","1274063","RS CHEVANI"
"1271","1275010","RS UMUM WAHYU"
"1271","1275011","RS UMUM MITRA MEDIKA PREMIERE"
"1271","1275013","RS UMUM DAERAH DR. PIRNGADI"
"1271","1275035","RS TK. II PUTRI HIJAU MEDAN"
"1271","1275046","RS BHAYANGKARA TINGKAT II"
"1271","1275050","RS UMUM DELI"
"1271","1275061","RS UMUM DELIMA MEDAN"
"1271","1275072","RS UMUM SANTA ELISABETH MEDAN"
"1271","1275094","RS UMUM ADVENT MEDAN"
"1271","1275100","RS UMUM MURNI TEGUH METHODIST SUSANNA WESLEY"
"1271","1275126","RS UMUM METHODIST"
"1271","1275130","RS UMUM MATERNA"
"1271","1275141","RS AL DR. KOMANG MAKES BELAWAN"
"1207","1275147","RS UMUM FULL BETHESDA"
"1271","1275152","RSAU DR. ABDUL MALIK"
"1271","1275163","RS UMUM ISLAM MALAHAYATI"
"1271","1275196","RS UMUM SARI MUTIARA"
"1271","1275221","RS JIWA PROF. DR. MUHAMMAD ILDREM"
"1271","1275232","RS KHUSUS BEDAH ACCUPLAST"
"1271","1275265","RS UMUM SUNDARI"
"1271","1275276","RS UMUM VINA ESTETICA"
"1271","1275298","RS UMUM MITRA SEJATI"
"1271","1275309","RS KHUSUS MATA MEDAN BARU MEDICAL CENTRE"
"1271","1275321","RS UMUM SITI HAJAR"
"1271","1275516","RS UMUM MITRA MEDIKA"
"1271","1275590","RS UMUM BHAKTI"
"1271","1275600","RS UMUM PRIMA HUSADA CIPTA MEDAN"
"1271","1275622","RS UMUM IMELDA PEKERJA INDONESIA"
"1271","1275633","RS UMUM MARTHA FRISKA"
"1271","1275655","RSUP H. ADAM MALIK"
"1271","1275692","RS UMUM PERMATA BUNDA"
"1271","1275702","RS UMUM SRI RATU"
"1271","1275724","RS UMUM SARAH"
"1271","1275735","RS UMUM SEHAT"
"1271","1275750","RS UMUM PROF. DR. BOLONI"
"1271","1275772","RS UMUM BANDUNG"
"1271","1275783","RS IBU DAN ANAK ROSIVA"
"1207","1275794","RS UMUM HAJI MEDAN"
"1271","1275804","RS IBU DAN ANAK BADRUL AINI"
"1271","1275826","RS UMUM BAHAGIA MEDAN"
"1271","1275830","RS UMUM WULAN WINDY"
"1271","1275841","RS UMUM ESTOMIHI"
"1271","1275852","RS UMUM COLUMBIA ASIA"
"1271","1275874","RS KHUSUS GIGI DAN MULUT UNIV. SUMATERA UTARA"
"1271","1275885","RS UMUM MUHAMMADIYAH"
"1271","1275887","RS UMUM IBNU SALEH"
"1271","1275888","RS UMUM MARTHA FRISKA MULTATULI"
"1271","1275889","RS UMUM MURNI TEGUH MEMORIAL HOSPITAL"
"1271","1275890","RS UMUM BUNDA THAMRIN"
"1271","1275892","RS UMUM RIDOS"
"1271","1275898","RS KHUSUS MATA SMEC"
"1271","1275899","RS UMUM TERE MARGARETH"
"1271","1275900","RS UMUM FAJAR"
"1271","1275907","RS UMUM ROYAL PRIMA"
"1271","1275909","RS UMUM MADANI"
"1271","1275910","RS IBU DAN ANAK EVA"
"1271","1275911","RS UMUM SILOAM DHIRGA SURYA"
"1271","1275913","RS UMUM UNIVERSITAS SUMATERA UTARA"
"1271","1275914","RS KHUSUS MATA MENCIRIM TUJUH-TUJUH"
"1271","1275918","RS KHUSUS GINJAL RASYIDA"
"1271","1275921","RS KHUSUS BEDAH SETIA BUDI"
"1271","1275922","RS KHUSUS MATA PROVINSI SUMATERA UTARA"
"1271","1275923","RS UMUM MITRA MEDIKA AMPLAS"
"1271","1275924","RS UMUM GRAN THERESIA HERNA"
"1271","1275928","RS KHUSUS MATA PRIMA VISION"
"1271","1275929","RS IBU DAN ANAK ARTHA MAHINRUS"
"1271","1275930","RS UMUM HERMINA MEDAN"
"1271","1275931","RS UMUM ESHMUN"
"1271","1275932","RS GIGI DAN MULUT PRIMA"
"1271","1275933","RS KHUSUS PARU SUMATERA UTARA"
"1271","1275934","RS JIWA MAHONI"
"1271","1275935","RS UMUM ROYAL MATERNITY"
"1271","1275936","RS UMUM ROYAL PRIMA MARELAN"
"1271","1275996","RS SUFINA AZIZ"
"1271","1275997","RS UMUM BINA KASIH"
"1271","1275998","RS IBU DAN ANAK STELLA MARIS"
"1271","1275999","RS JIWA BINA KARSA MEDAN"
"1275","1276014","RS UMUM DAERAH DR. R. M. DJOELHAM BINJAI"
"1275","1276025","RS BANGKATAN PTPN II"
"1275","1276036","RS UMUM ARTHA MEDICA"
"1275","1276040","RS TK. IV 01.07.02 BINJAI"
"1275","1276074","RS UMUM LATERSIA"
"1275","1276075","RS UMUM BIDADARI"
"1275","1276076","RS UMUM RATU MAS"
"1275","1276077","RS UMUM SYLVANI"
"1275","1276078","RS UMUM AL FUADI"
"1275","1276079","OG HOSPITAL"
"1275","1276090","RS UMUM RASKITA"
"1277","1277011","RS UMUM DAERAH PADANG SIDEMPUAN"
"1277","1277015","RS TNI TK. IV 01.07.03"
"1277","1277026","RS UMUM INANTA"
"1277","1277027","RS METTA MEDIKA"
"1278","1278002","RS UMUM BETHESDA GUNUNGSITOLI"
"1309","1301010","RS UMUM DAERAH KEP. MENTAWAI"
"1301","1302011","RS UMUM DAERAH DR. MUHAMMAD ZEIN PAINAN"
"1301","1302012","RS UMUM BKM"
"1301","1302013","RS UMUM DAERAH TAPAN"
"1301","1302015","RS KHUSUS IBU DAN ANAK PERMATA HATI"
"1311","1303012","RS UMUM DAERAH MUARA LABUH"
"1302","1303023","RS UMUM DAERAH AROSUKA SOLOK"
"1303","1304014","RS UMUM DAERAH KABUPATEN SIJUNJUNG"
"1303","1304015","RS BERSALIN ALYA"
"1303","1304017","RS KHUSUS IBU DAN ANAK HARYANDA"
"1304","1305014","RS UMUM DAERAH PROF. DR. M.A. HANAFIAH"
"1304","1305015","RS IBU DAN ANAK SAYANG IBU"
"1304","1305016","RS IBU DAN ANAK FADHILA BATUSANGKAR"
"1304","1305017","RS UMUM HARAPAN IBUNDA"
"1377","1306015","RS UMUM DAERAH PARIAMAN"
"1305","1306056","RS UMUM DAERAH PADANG PARIAMAN"
"1305","1306057","RS PARU SUMATERA BARAT"
"1306","1307017","RS IBU DAN ANAK REZKI BUNDA"
"1307","1308010","RS UMUM DAERAH DR. ACHMAD DARWIS"
"1307","1308012","RS BERSALIN HARAPAN BUNDA"
"1306","1308016","RS UMUM DAERAH LUBUK BASUNG"
"1308","1309011","RS UMUM DAERAH LUBUK SIKAPING"
"1312","1309022","RS UMUM ISLAM IBNU SINA"
"1308","1309023","RS ISLAM IBNU SINA PANTI YARSI"
"1308","1309024","RS KELAS D PRATAMA PASAMAN"
"1310","1311002","RS UMUM DAERAH SUNGAI RUMBAI"
"1310","1311013","RS UMUM DAERAH SUNGAI DAREH"
"1312","1312024","RS UMUM DAERAH PASAMAN BARAT"
"1312","1312025","RS IBU DAN ANAK AL-IHSAN"
"1312","1312036","RS UMUM DAERAH UJUNG GADING"
"1371","1371010","RSUP DR. M. DJAMIL"
"1371","1371021","RS TK. III REKSODIWIRYO PADANG"
"1371","1371032","RS UMUM YOS SUDARSO"
"1371","1371091","RS UMUM ISLAM IBNU SINA"
"1371","1371112","RS UMUM AISYIYAH PADANG"
"1371","1371123","RS BHAYANGKARA PADANG"
"1371","1371251","RS JIWA PUTI BUNGSU"
"1371","1371273","RS IBU DAN ANAK BUNDA PADANG"
"1371","1371284","RS UMUM SELAGURI"
"1371","1371305","RS UMUM SEMEN PADANG HOSPITAL"
"1371","1371316","RS JIWA PROF. DR. HASAN BASRI SAANIN DATUK TAN PAR"
"1371","1371400","RS IBU DAN ANAK LENGGOGENI"
"1371","1371422","RS KHUSUS BEDAH ROPANASURI"
"1371","1371444","RS UMUM DAERAH DR. RASIDIN PADANG"
"1371","1371446","RS UMUM BUNDA PADANG"
"1371","1371451","RS IBU DAN ANAK CICIK"
"1371","1371454","RS KHUSUS GIGI DAN MULUT BAITURRAHMAH"
"1371","1371455","RS IBU DAN ANAK SITI HAWA"
"1371","1371456","RS ISLAM SITI RAHMAH"
"1371","1371457","RS KHUSUS MATA PADANG EYE CENTER"
"1371","1371459","RS KHUSUS MATA REGINA EYE CENTER"
"1371","1371460","RS IBU DAN ANAK MUTIARA BUNDA"
"1371","1371462","RS UMUM NAILI DBS"
"1371","1371463","RS KHUSUS BEDAH KARTIKA DOCTA"
"1371","1371464","RS. UNIVERSITAS ANDALAS"
"1371","1371465","RS IBU DAN ANAK RESTU IBU"
"1371","1371466","RS UMUM HERMINA PADANG"
"1371","1371467S","RS DARURAT PENANGANAN COVID-19 KOTA PADANG"
"1372","1372011","RS UMUM DAERAH MOHAMMAD NATSIR"
"1372","1372012","RS TKT. IV 01.07.06 SOLOK"
"1372","1372013","RS IBU DAN ANAK PERMATA BUNDA SOLOK"
"1372","1372014","RS IBU DAN ANAK ANANDA"
"1372","1372015","RS IBU DAN ANAK YASMIN"
"1372","1372016","RS UMUM DAERAH KOTA SOLOK"
"1373","1373012","RS UMUM DAERAH SAWAH LUNTO"
"1374","1374013","RS UMUM DAERAH PADANG PANJANG"
"1374","1374024","RS UMUM IBNU SINA PADANG PANJANG"
"1375","1375014","RS UMUM DAERAH DR. ACHMAD MOCHTAR"
"1375","1375025","RS TK. IV BUKITTINGGI"
"1375","1375036","RS OTAK DR. DRS. M. HATTA BUKITTINGGI"
"1375","1375040","RS UMUM IBNU SINA BUKITTINGGI"
"1375","1375051","RS UMUM MADINA"
"1375","1375052","RS KHUSUS THT SITAWA SIDINGIN"
"1375","1375053","RS UMUM DAERAH KOTA BUKITTINGGI"
"1376","1376011","RS UMUM IBNU SINA KOTA PAYAKUMBUH"
"1376","1376015","RS UMUM DAERAH DR. ADNAAN WD"
"1376","1376016","RS IBU DAN ANAK SUKMA BUNDA"
"1376","1376017","RS IBU DAN ANAK ANNISA PAYAKUMBUH"
"1377","1377003","RS UMUM AISYIYAH PARIAMAN"
"1377","1377005","RS UMUM TAMAR MEDICAL CENTRE"
"1377","1377007","RS UMUM DAERAH DR SADIKIN KOTA PARIAMAN"
"1377","1377008","RS IBU DAN ANAK CITRA AGUSWAR MEDICAL CENTER"
"1409","1401011","RS UMUM DAERAH TELUK KUANTAN"
"1409","1401012","RS IBU DAN ANAK MILANO"
"1402","1402012","RS UMUM DAERAH  INDRASARI RENGAT"
"1402","1402013","RS UMUM  KASIH IBU RENGAT"
"1402","1402014","RS IBU DAN ANAK  SAFIRA"
"1402","1402015","RS MUIZZAH"
"1404","1403013","RS UMUM DAERAH  PURI HUSADA TEMBILAHAN"
"1404","1403024","RS UMUM DAERAH  RAJA MUSA"
"1404","1403035","RS UMUM DAERAH  TENGKU SULUNG"
"1404","1403037","RS 3M PLUS"
"1405","1404014","RS UMUM DAERAH  SELASIH RIAU"
"1405","1404025","RS UMUM  EFARINA"
"1405","1404026","RS UMUM  MEDICARE SOREK"
"1405","1404027","RS UMUM  AMALIA MEDIKA"
"1408","1405015","RS UMUM DAERAH TENGKU RAFI'AN SIAK SRI INDRAPURA"
"1408","1405017","RS TYPE D PERAWANG"
"1401","1406016","RS UMUM DAERAH  BANGKINANG"
"1401","1406031","RS UMUM  TANDUN"
"1401","1406043","RS UMUM  MESRA"
"1401","1406044","RS IBU ANAK  HUSADA BUNDA"
"1401","1406045","RS IBU ANAK  BUNDA ANISYAH"
"1401","1406046","RS IBU ANAK  NORFA HUSADA"
"1401","1406057","RS UMUM PELITA"
"1406","1407011","RS UMUM DAERAH  ROKAN HULU"
"1406","1407012","RS UMUM  AWAL BROS UJUNG BATU"
"1406","1407013","RS UMUM AZZAHRA"
"1406","1407014","RS UMUM  SURYA INSANI"
"1406","1407016","RS IBU DAN ANAK HARAPAN MEDIKA"
"1406","1407017","RS DOA IBUNDA"
"1403","1408011","RS UMUM DAERAH  BENGKALIS"
"1403","1408032","RS UMUM DAERAH  KEC.MANDAU"
"1403","1408055","RS UMUM  MUTIA SARI"
"1403","1408067","RS UMUM PT. CHEVRON PACIFIC INDONESIA"
"1403","1408079","RS UMUM  THURSINA"
"1403","1408080","RS UMUM  PERMATA HATI"
"1407","1409013","RS UMUM  INDAH"
"1407","1409014","RS UMUM CAHAYA"
"1407","1409018","RS IBUNDA"
"1407","1409019","RS IBU DAN ANAK ATHAYA MEDIKA"
"1407","1409022","RS UMUM DAERAH  DR. RM. PRATOMO BAGANSIAPIAPI"
"1410","1410043","RS UMUM DAERAH  KABUPATEN KEPULAUAN MERANTI"
"1471","1471011","RS UMUM DAERAH  ARIFIN ACHMAD"
"1471","1471022","RS TK. IV PEKANBARU"
"1471","1471033","RS BHAYANGKARA PEKAN BARU POLDA RIAU"
"1471","1471055","RS SANTA MARIA PEKANBARU"
"1471","1471067","RS UMUM  EKA HOSPITAL PEKANBARU"
"1471","1471079","RS UMUM  SYAFIRA"
"1471","1471091","RS UMUM DAERAH  PETALA BUMI"
"1471","1471135","RS UMUM  ISLAM IBNU SINA"
"1471","1471146","RS JIWA TAMPAN"
"1471","1471150","RS PROF. DR. TABRANI"
"1471","1471161","RS UMUM  BINA KASIH"
"1471","1471215","RSU TNI-AU LANUD ROESMIN NURJADIN"
"1471","1471226","RS UMUM  AWAL BROS PEKANBARU"
"1471","1471237","RS  ERIA"
"1471","1471259","RS IBU DAN ANAK ANDINI"
"1471","1471371","RS UMUM  LANCANG KUNING"
"1471","1471382","RS UMUM  PEKANBARU MEDICAL CENTER"
"1471","1471383","RS UMUM  SANSANI"
"1471","1471384","RS AWAL BROS A. YANI"
"1471","1471386","RS IBU DAN ANAK  ANNISA"
"1471","1471387","RS IBU DAN ANAK  ZAINAB"
"1471","1471389","RS JMB PEKANBARU"
"1471","1471390","RS UMUM  AWAL BROS PANAM"
"1471","1471391","RS KHUSUS  MATA PEKANBARU EYE CENTER"
"1471","1471392","RS UMUM  UNIVERSITAS RIAU"
"1471","1471394","RS KHUSUS  MATA SMEC PEKANBARU"
"1471","1471395","RS IBU ANAK  BUDHI MULIA"
"1471","1471396","RS UMUM  AULIA HOSPITAL"
"1471","1471397","RS UMUM  PRIMA PEKANBARU"
"1471","1471398","RS DAERAH MADANI KOTA PEKANBARU"
"1471","1471399","RS HERMINA PEKANBARU"
"1472","1473013","RS UMUM DAERAH  KOTA DUMAI"
"1472","1473024","RS PERTAMINA DUMAI"
"1472","1473078","RS BHAYANGKARA DUMAI"
"1472","1473079","RS GRAHA YASMINE"
"1572","1501012","RS UMUM DAERAH MAYJEN H. A. THALIB"
"1502","1502014","RS UMUM DAERAH KOLONEL ABUNDJANI/BANGKO"
"1502","1502015","RS RAUDHAH"
"1502","1502018","RS ANDIMAS"
"1502","1502019","RS MERANGIN MEDICAL CENTRE"
"1503","1503036","RS UMUM DAERAH PROF. DR. H.  CHATIB QUZWAIN"
"1503","1503039","RS LANGIT GOLDEN MEDIKA"
"1504","1504015","RS UMUM DAERAH HAJI ABDOEL MADJID BATOE"
"1571","1504017","RS ROYAL PRIMA"
"1504","1504018","RS MITRA MEDIKA BATANG HARI"
"1505","1505016","RS UMUM DAERAH AHMAD RIPIN"
"1505","1505027","RS UMUM DAERAH SUNGAI BAHAR"
"1505","1505028","RS UMUM DAERAH SUNGAI GELAM"
"1507","1506011","RS UMUM DAERAH NURDIN HAMZAH"
"1506","1507010","RS UMUM DAERAH KH. DAUD ARIF"
"1506","1507013","RS UMUM DAERAH SURYAH KHAIRUDDIN"
"1509","1508002","RS UMUM SETIA BUDI"
"1509","1508013","RS UMUM DAERAH SULTAN THAHA SAIFUDDIN"
"1508","1509013","RS UMUM DAERAH H. HANAFIE"
"1508","1509028","RS UMUM PERMATA HATI"
"1508","1509029","RS IBU DAN ANAK MOELIA"
"1508","1509031","RS JABAL RAHMAH MEDIKA"
"1508","1509042","RS UMUM DAERAH RANTAU IKIL"
"1571","1571012","RS UMUM DAERAH RADEN MATTAHER JAMBI"
"1571","1571023","RS TK. IV DR. BRATANATA"
"1571","1571034","RS BHAYANGKARA JAMBI"
"1571","1571045","RS UMUM SANTA THERESIA"
"1571","1571136","RS JIWA DAERAH PROVINSI JAMBI"
"1571","1571147","RS SILOAM JAMBI"
"1571","1571158","RS UMUM DAERAH H. ABDUL MANAP"
"1571","1571159","RS ISLAM ARAFAH"
"1571","1571161","RS IBU DAN ANAK ANNISA"
"1571","1571162","RS UMUM KAMBANG"
"1571","1571163","RS UMUM BAITURAHIM JAMBI"
"1571","1571164","RS UMUM RIMBO MEDIKA"
"1571","1571165","RS UMUM ERNI MEDIKA"
"1571","1571168","RS MITRA"
"1571","1571169","RS UMUM DAERAH H. ABDURRAHMAN SAYOETI"
"1571","1571180","RS RAPHA THERESIA"
"1572","1572003","RS UMUM MELATI"
"1601","1601002","RS UMUM DR. NOESMIR BATURAJA"
"1601","1601013","RS UMUM DAERAH DR. IBNU SUTOWO BATURAJA"
"1601","1601035","RS UMUM SANTO ANTONIO BATURAJA"
"1601","1601084","RS UMUM DOKTER MAULANA AK"
"1601","1601086","RS IBU DAN ANAK AMANNA"
